Total Nacional;Comunidades y Ciudades Autónomas;Periodo;Total
Total Nacional;09 Cataluña;2007;31,2
Total Nacional;09 Cataluña;2006;28,5
Total Nacional;09 Cataluña;2005;33,1
Total Nacional;09 Cataluña;2004;34,1
Total Nacional;10 Comunitat Valenciana;2023;15,0
Total Nacional;10 Comunitat Valenciana;2022;16,0
Total Nacional;10 Comunitat Valenciana;2021;13,2
Total Nacional;10 Comunitat Valenciana;2020;15,5
Total Nacional;10 Comunitat Valenciana;2019;16,4
Total Nacional;10 Comunitat Valenciana;2018;20,2
Total Nacional;10 Comunitat Valenciana;2017;20,3
Total Nacional;10 Comunitat Valenciana;2016;20,2
Total Nacional;10 Comunitat Valenciana;2015;21,4
Total Nacional;10 Comunitat Valenciana;2014;23,4
Total Nacional;10 Comunitat Valenciana;2013;21,7
Total Nacional;10 Comunitat Valenciana;2012;25,9
Total Nacional;10 Comunitat Valenciana;2011;26,7
Total Nacional;10 Comunitat Valenciana;2010;28,4
Total Nacional;10 Comunitat Valenciana;2009;31,9
Total Nacional;10 Comunitat Valenciana;2008;32,6
Total Nacional;10 Comunitat Valenciana;2007;31,2
Total Nacional;10 Comunitat Valenciana;2006;31,1
Total Nacional;10 Comunitat Valenciana;2005;32,2
Total Nacional;10 Comunitat Valenciana;2004;35,7
Total Nacional;11 Extremadura;2023;9,9
Total Nacional;11 Extremadura;2022;10,6
Total Nacional;11 Extremadura;2021;14,3
Total Nacional;11 Extremadura;2020;18,4
Total Nacional;11 Extremadura;2019;20,5
Total Nacional;11 Extremadura;2018;20,9
Total Nacional;11 Extremadura;2017;19,2
Total Nacional;11 Extremadura;2016;20,4
Total Nacional;11 Extremadura;2015;24,5
Total Nacional;11 Extremadura;2014;22,9
Total Nacional;11 Extremadura;2013;29,2
Total Nacional;11 Extremadura;2012;32,6
Total Nacional;11 Extremadura;2011;30,1
Total Nacional;11 Extremadura;2010;31,6
Total Nacional;11 Extremadura;2009;34,1
Total Nacional;11 Extremadura;2008;33,8
Total Nacional;11 Extremadura;2007;34,4
Total Nacional;11 Extremadura;2006;35,8
Total Nacional;11 Extremadura;2005;36,8
Total Nacional;11 Extremadura;2004;39,2
Total Nacional;12 Galicia;2023;9,1
Total Nacional;12 Galicia;2022;9,9
Total Nacional;12 Galicia;2021;8,7
Total Nacional;12 Galicia;2020;12,0
Total Nacional;12 Galicia;2019;12,6
Total Nacional;12 Galicia;2018;14,3
Total Nacional;12 Galicia;2017;14,9
Total Nacional;12 Galicia;2016;15,2
Total Nacional;12 Galicia;2015;17,0
Total Nacional;12 Galicia;2014;18,5
Total Nacional;12 Galicia;2013;20,2
Total Nacional;12 Galicia;2012;22,7
Total Nacional;12 Galicia;2011;20,4
Total Nacional;12 Galicia;2010;22,8
Total Nacional;12 Galicia;2009;25,8
Total Nacional;12 Galicia;2008;23,6
Total Nacional;12 Galicia;2007;23,5
Total Nacional;12 Galicia;2006;24,5
Total Nacional;12 Galicia;2005;22,9
Total Nacional;12 Galicia;2004;24,3
Total Nacional;13 Madrid, Comunidad de;2023;11,4
Total Nacional;13 Madrid, Comunidad de;2022;11,2
Total Nacional;13 Madrid, Comunidad de;2021;9,8
Total Nacional;13 Madrid, Comunidad de;2020;10,0
